id,q_id,method,retrieve_text,score,source
1_固定大小,1,固定大小,台灣的太空之眼：「福衛八號」進擊之路  回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。  如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。  從太空到地表的連線：衛,0.6748046875,2
2_固定大小,2,固定大小,為統治命脈的石油經濟不再穩固之外，86歲的伊朗最高領袖哈米尼，也因為高齡與不斷惡化的健康狀況，不得不面對棘手的接班政治問題。在此期間，掌握國家武力、經濟活動與政治方向的革命衛隊，很可能因為哈米尼的退場而掌握更大的政治權力，這會否刺激政權核心出現分裂、還是會走向更壓迫的軍人統治，都讓伊朗政治面臨著更大的不確定性與內部壓力。  在長期經濟前景持續惡化，加上高層政治日益走向保守威權的情況下，伊朗政府幾乎,0.293212890625,1
3_固定大小,3,固定大小,影響全球石油經濟穩定，卻長期遭到國際制裁封鎖的中東大國──伊朗──目前正經歷一場極為血腥且高度對立的官民衝突。由於不滿政府無力回應失控的物價通膨與瀕臨崩潰的國內經濟，自2025年12月底起，伊朗各地陸續爆發大規模罷工、罷市與示威抗爭；然而，伊朗政府卻將這波行動定調為意圖推翻政權的「恐怖主義行為」，不僅自今年（2026）1月8日起全面切斷網際網路與行動通訊，同時動員安全部隊與民兵，全面展開武力鎮壓。,0.56640625,1
4_固定大小,4,固定大小,影響全球石油經濟穩定，卻長期遭到國際制裁封鎖的中東大國──伊朗──目前正經歷一場極為血腥且高度對立的官民衝突。由於不滿政府無力回應失控的物價通膨與瀕臨崩潰的國內經濟，自2025年12月底起，伊朗各地陸續爆發大規模罷工、罷市與示威抗爭；然而，伊朗政府卻將這波行動定調為意圖推翻政權的「恐怖主義行為」，不僅自今年（2026）1月8日起全面切斷網際網路與行動通訊，同時動員安全部隊與民兵，全面展開武力鎮壓。,0.66357421875,1
5_固定大小,5,固定大小,犯」之由逮捕委內瑞拉總統馬杜洛（Nicolás Maduro）的行動仍餘波蕩漾，因此這波內部動亂，也被華府戰略鷹派認為是美國乘勝追擊、一舉推翻另一宿敵政權的「機會之窗」。  事實上，隨著伊朗動亂持續擴大，美國與以色列政府雖曾多次公開表態「同情伊朗人民的起義」，甚至暗示「不排除軍事介入」的可能性，但在口頭聲援、以及美國再次對伊朗貿易夥伴施加25%的制裁性關稅之外，駐中東美軍並未出現大規模兵力集結，以,0.281982421875,1
6_固定大小,6,固定大小,，光憑著中國官媒影像與免費遙測影像就能比對出來，如果有更精細的影像，肯定能做到更多軍情研判。  解放軍也知道台灣有衛星，難道不會盡量掩蔽嗎？林穎佑解釋，掩蔽只是一時的，出動訓練就會見光，除非是偷襲才會選在晚上，平時演訓為了確保安全還是會以白天、且風平浪靜的時候為主，避免訓練過程出現變數或意外；意即解放軍平日雖可透過掩體將軍事裝備隱藏，但訓練過程就沒辦法，這也是為什麼美國或中國這麼重視遙測衛星的原因,0.529296875,5
7_固定大小,7,固定大小,灣地區的投資信心。更何況，以革命衛隊為核心的伊朗統治菁英，長期以來也將部分資產轉移至卡達、阿拉伯聯合大公國等海灣鄰國，以規避國際制裁；在這樣的背景下，維持私下的合作默契，讓伊朗持續處於「局勢穩定、但仍遭國際制裁孤立」的現狀，也被普遍認為最符合周邊海灣國家的整體利益。  美國與海灣盟邦對伊朗投鼠忌器的躊躇態度，也反映出華府在中東戰略的另一歷史矛盾：伊拉克的教訓。在1991年第一次波灣戰爭之後，伊拉克,0.6572265625,1
8_固定大小,8,固定大小,二戰後全球發動逾2千次核試驗 誰是蕈狀雲下的犧牲者？ 二戰結束後，至少有8國執行超過2千次核試驗，地點大多選在偏遠地帶或離島。這些核試驗場周遭的居民，至今仍因暴露在輻射下導致疾病，或被迫離開家園，刻下無法抹滅的傷痕。如今美國總統川普一度宣布重啟核試，世界局勢愈發緊張，又是誰將承擔輻射的代價？ 爆炸發生幾小時後，人們就抓破自己的皮膚，母親們眼睜睜地看著孩子們的頭髮都掉在地上，水泡在一夜之間吞噬了他們,0.67333984375,4
9_固定大小,9,固定大小,對齊、河流與建築的位置對焦回現實，影像才能用於防災、救災或是地理研究等實際應用情境。  影像處理中心衛星資料處理組組長張莉雪表示，目前與太空中心合作的客戶有超過9成來自政府部門，「福衛五號」所拍攝的影像多數用於國土監測，包含崩塌地或是農業用地的土地利用監測等。當像是馬太鞍溪堰塞湖潰壩這樣的緊急災害事件發生時，衛星影像也可以比對出地表變化。   Made with Flourish • Create,0.72900390625,2
10_固定大小,10,固定大小,消失的住院醫師 健保兆元時代，擋得住「直美」風潮與急重難科持續失血嗎？ 醫院急重症人力崩塌持續擴大，20年前的內外婦兒「四大皆空」、10年前變成內外婦兒急「五大皆空」，到了今年（2025），甚至因為神經內科24小時取栓的過勞、也引發出走潮，再累加至內外婦兒急神經「六大皆空」。 《報導者》2024年年底推出《誰掏空了醫院人力》專題，以數據資料解析30年最大一波的護理人力出走潮，離開的護理師去哪裡？哪,0.4404296875,3
11_固定大小,11,固定大小,法醫中心外尋找罹難親友的遺體。（攝影／UGC via AP／達志影像） 根據一段2026年1月9日至11日間拍攝的影片截圖，伊朗首都德黑蘭郊區卡里札克（Kahrizak）的示威活動遭到鎮壓後，民眾在法醫中心外尋找罹難親友的遺體。（攝影／UGC via AP／達志影像） 伊朗政府為了阻斷示威者彼此串聯而切斷全國網路與行動通訊，其封鎖強度更是前所未有。事實上，早在2019年11月的伊朗反油價調漲抗爭期,0.84326171875,1
